(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(0.434298,0)	(0.1,-0)	(49835,0)	(-0.099001,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(197.037,0)	(0.1,0)	(0.106555,0)	(-0.0989423,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,-0)	(49835,0)	(-2.27999,0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(0.434298,0)	(0.1,0)	(0.106555,0)	(-0.099001,-0)	(-0.0227805,0)	(-2.27903,0)	
(0,0)	(779.579,0)	(10,0)	(56551.3,0)	(0.1,-0)	(10,-0)	(197.037,0)	(0.1,-0)	(49835,0)	(-0.0989423,-0)	(-0.0117768,-0)	(-0.000996902,0)	
(0,0)	(0.204594,0)	(10,0)	(0.0104764,0)	(0.1,0)	(10,0)	(9.81244,0)	(0.1,0)	(0.106555,0)	(-2.27999,0)	(-0.0227805,0)	(-2.27903,0)	
